,Coefficients,P-Values,Standard Errors,t-values,Confidence Interval Lower,Confidence Interval Upper
const,123.79868234096747,0.2457518657493848,106.3801853092094,1.163738171550733,-85.82022956091419,333.41759424284913
bewohner,-5.443344124186576,0.24342689477132678,4.654401486897101,-1.1695046376017362,-14.614700353751331,3.728012105378178
groesse,0.6039661862803137,0.8423049516646504,3.0323550870541736,0.19917396510019073,-5.371197064289846,6.579129436850473
miete,2.277572953975562,0.2510741379205241,1.979325975502173,1.150681081421023,-1.6226285363481958,6.177774444299319
sentiment,-0.7656087817934419,0.009099069963253483,0.29100564211866414,-2.6309070031063095,-1.3390265275974806,-0.19219103598940324
plz_52064,-47.21321241794459,0.17780940994168795,34.92817841506184,-1.3517227224648267,-116.03812311723266,21.61169828134348
plz_52066,-64.52951312507028,0.13561771965113747,43.08765439423336,-1.4976334644409557,-149.4324224805179,20.373396230377352
plz_52068,-56.39469032172208,0.3711336423331266,62.931502330622244,-0.896128143031485,-180.39929704949168,67.60991640604753
plz_52070,-70.10718007901008,0.05431543913506995,36.24364230266211,-1.9343304266597035,-141.52417226380686,1.3098121057867047
plz_52072,-21.20501397604512,0.5980400697803472,40.163753381526156,-0.5279639523381459,-100.34646552794601,57.93643757585576
plz_52074,-89.58475840645825,0.04236508307931482,43.88340439519789,-2.041426813646696,-176.0556688784979,-3.1138479344185868
plz_52078,84.4087489354908,0.2600548621940636,74.75871700234562,1.1290823641722263,-62.90102372247951,231.7185215934611
plz_52080,-103.15122272458434,0.4055210295146787,123.77837919723949,-0.8333541236649576,-347.0527452580073,140.75029980883863
plz_52159,-196.13506127555192,0.2607967687025477,173.98325091064913,-1.1273215108291033,-538.9637529067658,146.69363035566195
plz_52249,-165.08624681311585,0.10878364837459026,102.53690327386639,-1.6100178720258995,-367.1320886358377,36.959595009606005
verbindung_True,-62.67526858078335,0.19971138775887015,48.73204542893579,-1.2861202116414439,-158.70027838758855,33.34974122602185
